gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ni,sale,costat
013125,2023-12-31,2023,INDL,C,D,STD,DOC,HEALTHPEAK PROPERTIES INC,USD,15698.8500,306.0090,2199.9070,A
013200,2023-10-31,2023,INDL,C,D,STD,PLAB,PHOTRONICS INC,USD,1526.2210,125.4850,892.0760,A
013341,2023-12-31,2023,INDL,C,D,STD,PGR,PROGRESSIVE CORP-OHIO,USD,88690.8000,3902.4000,62082.3000,A
013342,2023-12-31,2023,INDL,C,D,STD,RLI,RLI CORP,USD,5180.2210,304.6110,1511.9940,A
013354,2023-02-28,2022,INDL,C,D,STD,VOXX,VOXX INTERNATIONAL CORP,USD,519.4510,-28.5760,534.0140,A
013421,2023-12-31,2023,INDL,C,D,STD,CDNS,CADENCE DESIGN SYSTEMS INC,USD,5669.4910,1041.1440,4089.9860,A
013431,2023-12-31,2023,INDL,C,D,STD,BRY,BERRY CORP,USD,1594.1580,37.4000,903.4600,A
013453,2023-12-31,2023,INDL,C,D,STD,OPY,OPPENHEIMER HOLDINGS INC,USD,2874.8160,30.1790,1248.8250,A
013498,2023-11-30,2023,INDL,C,D,STD,CCL,CARNIVAL CORPORATION & PLC,USD,49120.0000,-74.0000,21593.0000,A
013561,2023-12-31,2023,INDL,C,D,STD,MBI,MBIA INC,USD,2606.0000,-491.0000,47.0000,A
013562,2023-12-31,2023,INDL,C,D,STD,BDN,BRANDYWINE REALTY TRUST,USD,3732.4470,-196.7890,438.4070,A
013570,2023-12-31,2023,INDL,C,D,STD,MIDD,MIDDLEBY CORP,USD,6906.6920,400.8820,4036.6050,A
013579,2023-12-31,2023,INDL,C,D,STD,EQC,EQUITY COMMONWEALTH,USD,2425.0410,91.1640,175.1910,A
013580,2023-12-31,2023,INDL,C,D,STD,UHT,UNIVERSAL HEALTH RLTY INCOME,USD,596.3690,15.4000,96.7820,A
013602,2023-04-30,2022,INDL,C,D,STD,CRMT,AMERICA'S CAR-MART INC,USD,1420.4310,20.3920,1209.2790,A
013623,2023-12-31,2023,INDL,C,D,STD,CNMD,CONMED CORP,USD,2300.0210,64.4590,1244.7440,A
013700,2023-12-31,2023,INDL,C,D,STD,XRAY,DENTSPLY SIRONA INC,USD,7370.0000,-132.0000,3965.0000,A
013721,2023-12-31,2023,INDL,C,D,STD,ZTS,ZOETIS INC,USD,14286.0000,2344.0000,8581.0000,A
013786,2023-12-31,2023,INDL,C,D,STD,HRTX,HERON THERAPEUTICS INC,USD,222.5060,-110.5590,127.0440,A
013824,2023-09-30,2023,INDL,C,D,STD,FICO,FAIR ISAAC CORP,USD,1575.2810,429.3750,1513.5570,A
013888,2023-12-31,2023,INDL,C,D,STD,COOP,MR COOPER GROUP INC,USD,14196.0000,500.0000,1794.0000,A
013906,2023-09-30,2023,INDL,C,D,STD,JOUT,JOHNSON OUTDOORS INC  -CL A,USD,681.6060,19.5340,663.8440,A
013963,2023-12-31,2023,INDL,C,D,STD,VGR,VECTOR GROUP LTD,USD,934.0950,183.5260,938.0050,A
013988,2023-12-31,2023,INDL,C,D,STD,SCHW,SCHWAB (CHARLES) CORP,USD,493178.0000,5067.0000,25521.0000,A
014027,2023-12-31,2023,INDL,C,D,STD,CLH,CLEAN HARBORS INC,USD,6382.8690,377.8560,5409.1520,A
